Major field of study,Labour force status,Population,,Major Field of Study,Employed,Unemployed
01. Agricultural and veterinary sciences/services/operations and related fields 13,Total - Labour force status,"262,580",,"Business, management & public admin","3,472,623","285,627"
"01.00 Agriculture, general",Total - Labour force status,"65,590",,"Architecture, engineering & trades","3,218,618","287,502"
01.01 Agricultural business and management,Total - Labour force status,"14,025",,Health and related fields,"2,288,052","156,448"
01.02 Agricultural mechanization,Total - Labour force status,"6,710",,Social & behavioural sciences and law,"1,828,625","187,500"
01.03 Agricultural production operations,Total - Labour force status,"17,070",,Education,"1,037,330","75,685"
01.04 Agricultural and food products processing,Total - Labour force status,"2,570",,"Personal, protective & transportation","900,750","105,675"
01.05 Agricultural and domestic animal services,Total - Labour force status,"11,640",,Humanities,"826,492","100,068"
01.06 Applied horticulture/horticultural business services,Total - Labour force status,"49,340",,"Math, computer & information sciences","737,479","66,751"
01.07 International agriculture,Total - Labour force status,50,,Physical & life sciences and tech,"649,907","69,813"
01.08 Agricultural public services,Total - Labour force status,250,,"Visual & performing arts, communications","554,242","77,013"
01.09 Animal sciences,Total - Labour force status,"12,130",,"Agriculture, natural resources & conservation","371,676","35,864"
01.10 Food science and technology,Total - Labour force status,"19,930",,,,
01.11 Plant sciences,Total - Labour force status,"13,225",,,,
01.12 Soil sciences,Total - Labour force status,"2,515",,,,
01.13 Agriculture/veterinary preparatory programs,Total - Labour force status,95,,,,
01.80 Veterinary medicine (DVM),Total - Labour force status,"16,355",,,,
"01.81 Veterinary biomedical and clinical sciences (Cert., MS, MSc, PhD)",Total - Labour force status,"2,825",,,,
01.82 Veterinary administrative services,Total - Labour force status,"1,535",,,,
01.83 Veterinary/animal health technologies/technicians,Total - Labour force status,"26,110",,,,
"01.99 Agricultural and veterinary sciences/services/operations and related fields, other",Total - Labour force status,620,,,,
03. Natural resources and conservation,Total - Labour force status,"144,960",,,,
03.01 Natural resources conservation and research,Total - Labour force status,"57,625",,,,
