Educational Qualification,Field of Study,Number of Graduates,Median Employment Income ($)
"Career, technical or professional training certificate",Science and science technology,170,"$52,100"
"Career, technical or professional training certificate",Engineering and engineering technology,"1,420","$61,000"
"Career, technical or professional training certificate",Mathematics and computer and information science,"1,190","$50,500"
"Career, technical or professional training certificate",Business and administration,"9,260","$42,400"
"Career, technical or professional training certificate",Arts and humanities,"2,530","$27,900"
"Career, technical or professional training certificate",Social and behavioural sciences,"1,520","$42,700"
"Career, technical or professional training certificate",Legal professions and studies,520,"$56,500"
"Career, technical or professional training certificate",Health care,"10,440","$43,000"
"Career, technical or professional training certificate",Education and teaching,"1,310","$33,600"
"Career, technical or professional training certificate","Trades, services, natural resources and conservation","10,900","$43,100"
"Career, technical or professional training diploma",Science and science technology,"3,300","$47,000"
"Career, technical or professional training diploma",Engineering and engineering technology,"13,740","$55,500"
"Career, technical or professional training diploma",Mathematics and computer and information science,"8,740","$47,900"
"Career, technical or professional training diploma",Business and administration,"29,330","$42,800"
"Career, technical or professional training diploma",Arts and humanities,"6,600","$37,300"
"Career, technical or professional training diploma",Social and behavioural sciences,"9,730","$41,800"
"Career, technical or professional training diploma",Legal professions and studies,"1,990","$45,900"
"Career, technical or professional training diploma",Health care,"13,240","$57,000"
"Career, technical or professional training diploma",Education and teaching,"2,010","$43,600"
"Career, technical or professional training diploma","Trades, services, natural resources and conservation","21,590","$45,000"
Undergraduate degree,Science and science technology,"13,730","$47,500"
Undergraduate degree,Engineering and engineering technology,"16,220","$76,700"
Undergraduate degree,Mathematics and computer and information science,"9,890","$73,400"
Undergraduate degree,Business and administration,"30,980","$62,400"
Undergraduate degree,Arts and humanities,"13,500","$40,300"
Undergraduate degree,Social and behavioural sciences,"28,690","$49,600"
Undergraduate degree,Legal professions and studies,430,"$52,700"
Undergraduate degree,Health care,"15,390","$80,700"
Undergraduate degree,Education and teaching,"12,170","$58,500"
Undergraduate degree,"Trades, services, natural resources and conservation","10,640","$56,900"
Professional degree,Legal professions and studies,"3,680","$87,600"
Professional degree,Health care,"2,930","$98,500"
Professional degree,"Trades, services, natural resources and conservation",340,"$109,500"
Master's degree,Science and science technology,"3,480","$66,100"
Master's degree,Engineering and engineering technology,"8,160","$76,000"
Master's degree,Mathematics and computer and information science,"4,580","$88,100"
Master's degree,Business and administration,"10,950","$90,200"
Master's degree,Arts and humanities,"2,230","$46,700"
Master's degree,Social and behavioural sciences,"5,440","$67,800"
Master's degree,Legal professions and studies,990,"$83,300"
Master's degree,Health care,"5,760","$82,500"
Master's degree,Education and teaching,"5,390","$83,100"
Master's degree,"Trades, services, natural resources and conservation","4,660","$71,900"
Doctoral degree,Science and science technology,"1,830","$72,900"
Doctoral degree,Engineering and engineering technology,"1,320","$87,900"
Doctoral degree,Mathematics and computer and information science,420,"$103,900"
Doctoral degree,Business and administration,160,"$109,400"
Doctoral degree,Arts and humanities,520,"$63,100"
Doctoral degree,Social and behavioural sciences,"1,250","$82,700"
Doctoral degree,Legal professions and studies,70,"$96,500"
Doctoral degree,Health care,350,"$95,000"
Doctoral degree,Education and teaching,410,"$101,800"
Doctoral degree,"Trades, services, natural resources and conservation",280,"$83,100"
,,,
Data Wrangling Notes:,,,
"Source: Statistics Canada, Table 37-10-0284-01 (2021 graduates, measured 2 years after). Cleaned: removed 16 metadata header rows, parsed hierarchical qualification/field structure, removed aggregate rows (Total, STEM, BHASE), stripped footnote reference numbers from labels, removed 7 suppressed values ('..'), converted comma-formatted numbers to integers, filtered to 6 credential levels × 10 individual fields = 53 clean records (Professional degree only has 3 fields with available data).",,,
