"Employment income statistics by major field of study (detailed, 4-digit) and highest level of education: Canada, provinces and territories",,,,,,,
Frequency: Occasional,,,,,,,
Table: 98-10-0409-01,,,,,,,
Release date: 2023-10-04,,,,,,,
"Geography: Canada, Province or territory",,,,,,,
"Universe: Population aged 15 years and over in private households, 2021 Census — 25% Sample data",,,,,,,
"Variable List: Major field of study - Classification of Instructional Programs (CIP) 2021 (500), Gender (3), Age (15A), Highest certificate, diploma or degree (16), Work activity during the reference year (5), Income year (2), Employment income statistics (7)",,,,,,,
,,,,,,,
Geography,Canada i1,,,,,,
Gender (3) 1 2,Total - Gender,,,,,,
Age (15A) 3,Total - Age,,,,,,
"Highest certificate, diploma or degree (16) 4","Total - Highest certificate, diploma or degree 6",,,,,,
Work activity during the reference year (5) 5,Total - Work activity during the reference year 7,,,,,,
Income year (2),2020,,,,,,
Employment income statistics (7),Total - Employment income statistics 9 10 11 12,With employment income,Median employment income ($),Average employment income ($),"With wages, salaries and commissions","Median wages, salaries and commissions ($)","Average wages, salaries and commissions ($)"
Major field of study - Classification of Instructional Programs (CIP) 2021 (500) 8,,,,,,,
Total - Major field of study - Classification of Instructional Programs (CIP) 2021 13,"30,335,920","21,127,690","37,200","50,280","19,392,230","40,000","51,950"
"No postsecondary certificate, diploma or degree","12,996,875","7,621,070","22,200","33,040","6,950,185","24,200","34,320"
Education,"1,113,015","764,830","53,600","55,650","719,005","57,200","57,900"
13. Education,"1,113,015","764,830","53,600","55,650","719,005","57,200","57,900"
"13.01 Education, general","670,515","438,290","59,600","58,200","411,815","63,200","60,650"
"13.02 Bilingual, multilingual and multicultural education",975,760,"57,600","61,500",720,"61,200","63,300"
13.03 Curriculum and instruction,"3,380","2,300","85,000","72,600","2,190","86,000","75,600"
13.04 Educational administration and supervision,"23,370","15,845","91,000","79,500","14,795","93,000","83,200"
13.05 Educational/instructional media design,"3,360","2,615","76,500","72,100","2,455","77,500","74,300"
"13.06 Educational assessment, evaluation and research",840,600,"77,500","75,200",560,"85,000","76,800"
13.07 International and comparative education,280,230,"62,000","60,800",215,"65,000","63,600"
13.09 Social and philosophical foundations of education,675,480,"74,000","70,400",420,"82,000","77,200"
13.10 Special education and teaching,"61,980","48,820","44,400","45,560","46,825","45,600","46,840"
13.11 Student counselling and personnel services,"13,100","9,705","58,400","57,650","9,140","60,000","59,650"
"13.12 Teacher education and professional development, specific levels and methods","117,740","81,985","44,000","48,160","77,130","46,400","50,000"
"13.13 Teacher education and professional development, specific subject areas","167,675","124,940","60,000","58,150","116,415","63,600","60,950"
13.14 Teaching English or French as a second or foreign language,"9,210","7,055","43,200","45,880","6,660","45,600","47,400"
13.15 Teaching assistants/aides,"33,970","27,870","30,400","31,480","26,785","30,800","31,920"
"13.99 Education, other","5,945","3,320","24,000","28,040","2,880","26,600","30,560"
"Visual and performing arts, and communications technologies","631,255","498,930","30,800","40,480","429,340","34,800","43,240"
10. Communications technologies/technicians and support services,"74,785","57,475","41,600","47,880","52,875","43,600","49,560"
10.01 Communications technology/technician,"2,065","1,355","49,600","52,900","1,260","53,200","54,600"
10.02 Audiovisual communications technologies/technicians,"19,885","16,460","40,800","46,520","15,005","43,200","48,320"
10.03 Graphic communications,"50,430","38,175","42,000","48,800","35,255","44,000","50,400"
"10.99 Communications technologies/technicians and support services, other","2,410","1,490","27,800","35,400","1,355","30,200","37,400"
50. Visual and performing arts,"556,470","441,450","29,400","39,520","376,460","33,600","42,360"
"50.01 Visual, digital and performing arts, general","23,980","19,585","24,600","35,400","17,275","27,200","37,400"
"50.02 Crafts/craft design, folk art and artisanry","1,290",870,"24,600","31,200",735,"29,800","34,600"
50.03 Dance,"6,485","5,370","15,600","29,520","4,340","16,600","32,400"
50.04 Design and applied arts,"206,775","164,395","34,800","42,080","143,230","38,000","44,640"
50.05 Drama/theatre arts and stagecraft,"42,345","36,725","22,400","34,360","31,465","24,200","35,640"
50.06 Film/video and photographic arts,"66,565","55,785","29,400","38,960","48,730","32,400","40,760"
50.07 Fine arts and art studies,"129,195","95,935","29,600","40,920","81,145","34,400","44,560"
50.09 Music,"76,200","59,620","22,200","35,920","46,610","27,600","40,080"
"50.10 Arts, entertainment, and media management","3,175","2,745","36,800","49,920","2,565","38,400","51,550"
50.11 Community/environmental/socially-engaged art,65,50,"17,400","28,000",45,"16,600","31,000"
"50.99 Visual and performing arts, other",395,360,"20,600","27,300",315,"21,200","27,200"
Humanities,"926,555","682,270","36,800","48,640","618,570","40,000","50,560"
"16. Indigenous and foreign languages, literatures, and linguistics","106,345","75,345","35,200","44,640","66,290","38,800","47,200"
"16.01 Linguistic, comparative and related language studies and services","72,325","53,805","39,200","47,360","47,600","42,400","49,800"
"16.02 African languages, literatures and linguistics",55,50,"10,600","17,500",50,"10,600","19,000"
"16.03 East Asian languages, literatures and linguistics","7,845","4,490","20,800","32,040","3,840","23,400","34,400"
"16.04 Slavic, Baltic and Albanian languages, literatures and linguistics","2,305","1,425","29,600","38,680","1,240","33,200","41,400"
"16.05 Germanic languages, literatures and linguistics","3,515","2,215","34,400","47,080","1,925","40,000","50,720"
16.06 Modern Greek language and literature,70,50,"40,400","39,000",50,"40,400","42,000"
"16.07 South Asian languages, literatures and linguistics","4,955","3,270","21,600","27,680","2,835","25,000","29,360"
"16.08 Iranian languages, literatures and linguistics",485,265,"7,500","19,200",205,"13,500","18,800"
"16.09 Romance languages, literatures and linguistics","5,160","3,620","40,400","51,850","3,260","43,200","55,300"
"16.10 Indigenous languages, literatures, and linguistics of the Americas",510,375,"43,600","48,800",375,"42,400","48,400"
"16.11 Middle/Near Eastern and Semitic languages, literatures and linguistics","1,580",830,"14,500","26,300",650,"17,200","28,950"
"16.12 Classics and classical languages, literatures and linguistics",780,305,"23,400","40,800",255,"32,800","43,200"
"16.13 Celtic languages, literatures and linguistics",40,25,x,"24,000",20,x,"12,000"
"16.14 Southeast Asian and Australasian/Pacific languages, literatures and linguistics",240,185,"32,400","38,800",160,"33,200","38,400"
