"Labour force status by major field of study (detailed, 4-digit) and highest level of education: Canada, provinces and territories, census metropolitan areas and census agglomerations with parts",,,
Frequency: Occasional,,,
Table: 98-10-0401-01,,,
Release date: 2023-06-21,,,
"Geography: Canada, Province or territory, Census metropolitan area, Census agglomeration, Census metropolitan area part, Census agglomeration part",,,
"Universe: Population aged 15 years and over in private households, 2021 Census — 25% Sample data",,,
"Variable List: Major field of study - Classification of Instructional Programs (CIP) 2021 (500), Labour force status (8), Age (15A), Highest certificate, diploma or degree (16), Gender (3)",,,
,,,
Geography,Canada i1,,
Labour force status (8) 1,Total - Labour force status 4 5,,
Age (15A) 2,Total - Age,,
"Highest certificate, diploma or degree (16) 3","Total - Highest certificate, diploma or degree 6",,
Gender (3) 7 8,Total - Gender,Men+ 10,Women+ 11
Major field of study - Classification of Instructional Programs (CIP) 2021 (500) 9,,,
Total - Major field of study - Classification of Instructional Programs (CIP) 2021 12,"30,335,920","14,861,245","15,474,670"
"No postsecondary certificate, diploma or degree","12,996,875","6,556,970","6,439,905"
Education,"1,113,015","258,360","854,655"
13. Education,"1,113,015","258,360","854,655"
"13.01 Education, general","670,515","158,935","511,585"
"13.02 Bilingual, multilingual and multicultural education",975,200,775
13.03 Curriculum and instruction,"3,380","1,095","2,285"
13.04 Educational administration and supervision,"23,370","10,555","12,815"
13.05 Educational/instructional media design,"3,360","1,290","2,075"
"13.06 Educational assessment, evaluation and research",835,385,455
13.07 International and comparative education,275,95,185
13.09 Social and philosophical foundations of education,670,225,445
13.10 Special education and teaching,"61,975","8,415","53,560"
13.11 Student counselling and personnel services,"13,100","3,295","9,805"
"13.12 Teacher education and professional development, specific levels and methods","117,740","15,270","102,470"
"13.13 Teacher education and professional development, specific subject areas","167,680","53,475","114,205"
13.14 Teaching English or French as a second or foreign language,"9,210","1,970","7,240"
13.15 Teaching assistants/aides,"33,970","2,170","31,805"
"13.99 Education, other","5,950",995,"4,955"
"Visual and performing arts, and communications technologies","631,255","274,065","357,190"
10. Communications technologies/technicians and support services,"74,785","53,390","21,400"
10.01 Communications technology/technician,"2,065","1,710",355
10.02 Audiovisual communications technologies/technicians,"19,880","15,995","3,890"
10.03 Graphic communications,"50,425","34,055","16,370"
"10.99 Communications technologies/technicians and support services, other","2,410","1,630",780
50. Visual and performing arts,"556,470","220,675","335,795"
"50.01 Visual, digital and performing arts, general","23,980","8,765","15,215"
"50.02 Crafts/craft design, folk art and artisanry","1,290",470,820
50.03 Dance,"6,480",895,"5,590"
50.04 Design and applied arts,"206,775","69,600","137,180"
50.05 Drama/theatre arts and stagecraft,"42,340","17,715","24,630"
50.06 Film/video and photographic arts,"66,565","38,515","28,050"
50.07 Fine arts and art studies,"129,195","45,445","83,745"
50.09 Music,"76,200","37,805","38,390"
"50.10 Arts, entertainment, and media management","3,175","1,220","1,960"
50.11 Community/environmental/socially-engaged art,65,30,35
"50.99 Visual and performing arts, other",400,210,185
Humanities,"926,560","354,120","572,440"
"16. Indigenous and foreign languages, literatures, and linguistics","106,345","23,455","82,885"
"16.01 Linguistic, comparative and related language studies and services","72,325","15,545","56,775"
"16.02 African languages, literatures and linguistics",55,40,15
"16.03 East Asian languages, literatures and linguistics","7,850","1,895","5,950"
"16.04 Slavic, Baltic and Albanian languages, literatures and linguistics","2,305",525,"1,775"
"16.05 Germanic languages, literatures and linguistics","3,515",880,"2,630"
16.06 Modern Greek language and literature,70,15,55
"16.07 South Asian languages, literatures and linguistics","4,950",995,"3,960"
"16.08 Iranian languages, literatures and linguistics",485,85,400
"16.09 Romance languages, literatures and linguistics","5,160","1,210","3,950"
"16.10 Indigenous languages, literatures, and linguistics of the Americas",510,105,405
"16.11 Middle/Near Eastern and Semitic languages, literatures and linguistics","1,580",380,"1,205"
"16.12 Classics and classical languages, literatures and linguistics",780,365,420
"16.13 Celtic languages, literatures and linguistics",40,10,25
"16.14 Southeast Asian and Australasian/Pacific languages, literatures and linguistics",240,40,195
"16.15 Turkic, Uralic-Altaic, Caucasian and Central Asian languages, literatures and linguistics",175,65,110
16.16 Sign language,"2,340",195,"2,140"
16.17 Second language learning,"2,980",810,"2,165"
"16.18 Armenian languages, literatures, and linguistics",45,10,40
"16.99 Indigenous and foreign languages, literatures and linguistics, other",940,275,665
23. English language and literature/letters,"184,605","53,020","131,585"
"23.01 English language and literature, general","118,910","33,405","85,510"
23.13 English rhetoric and composition/writing studies,"8,680","3,035","5,645"
23.14 English literature,"56,390","16,365","40,025"
"23.99 English language and literature/letters, other",620,220,405
"24. Liberal arts and sciences, general studies and humanities","316,050","119,220","196,835"
"24.01 Liberal arts and sciences, general studies and humanities","316,050","119,220","196,835"
30A Interdisciplinary humanities,"18,940","6,840","12,100"
30.13 Medieval and renaissance studies,705,315,390
30.21 Holocaust and related studies,30,0,25
30.22 Classical and ancient studies,"5,620","2,245","3,370"
30.29 Maritime studies,355,305,50
30.45 History and language/literature,"10,780","3,485","7,295"
30.47 Linguistics and anthropology,195,30,160
"30.51 Integrated philosophy, politics, and economics",115,80,40
30.52 Digital humanities and textual studies,135,80,55
30.53 Thanatology,"1,010",295,710
38. Philosophy and religious studies,"57,740","33,040","24,705"
"38.00 Philosophy and religious studies, general","1,075",830,250
"38.01 Philosophy, logic and ethics","35,165","21,895","13,275"
38.02 Religion/religious studies,"21,330","10,220","11,110"
"38.99 Philosophy and religious studies, other",170,100,70
39. Theology and religious vocations,"77,505","46,140","31,370"
39.02 Bible/Biblical studies,"10,545","4,925","5,620"
39.03 Missions/missionary studies and missiology,685,340,345
39.04 Religious education,"7,535","2,755","4,780"
39.05 Religious music and worship,720,295,425
39.06 Theological and ministerial studies,"51,545","34,565","16,985"
39.07 Pastoral counselling and specialized ministries,"5,535","2,870","2,670"
39.08 Religious institution administration and law,270,200,70
"39.99 Theology and religious vocations, other",665,190,470
54. History,"108,935","58,310","50,625"
54.01 History,"108,935","58,310","50,625"
55. French language and literature/lettersCAN,"56,440","14,095","42,350"
"55.01 French language and literature, generalCAN","35,205","7,880","27,320"
55.13 French rhetoric and composition/writing studiesCAN,"2,195",475,"1,715"
55.14 French literatureCAN,"18,645","5,595","13,045"
"55.99 French language and literature/letters, otherCAN",400,135,265
Social and behavioural sciences and law,"2,016,125","670,765","1,345,355"
"05. Area, ethnic, cultural, gender, and group studies","29,435","7,065","22,370"
05.01 Area studies,"15,125","4,680","10,445"
"05.02 Ethnic, cultural minority, gender, and group studies","14,295","2,380","11,915"
"05.99 Area, ethnic, cultural, gender, and group studies, other",15,0,10
"09. Communication, journalism and related programs","233,405","88,205","145,195"
09.01 Communication and media studies,"114,770","39,820","74,945"
09.04 Journalism,"48,140","20,155","27,990"
"09.07 Radio, television and digital communication","17,135","10,430","6,710"
"09.09 Public relations, advertising and applied communication","48,485","16,390","32,100"
09.10 Publishing,"1,785",385,"1,395"
"09.99 Communication, journalism and related programs, other","3,080","1,025","2,060"
19. Family and consumer sciences/human sciences,"344,145","27,905","316,245"
"19.01 Family and consumer sciences/human sciences, general","17,810","1,020","16,785"
19.02 Family and consumer sciences/human sciences business services,"2,520",520,"2,000"
19.04 Family and consumer economics and related services,85,0,85
"19.05 Foods, nutrition and related services","34,285","5,390","28,895"
19.06 Housing and human environments,"11,230","1,565","9,665"
"19.07 Human development, family studies and related services","245,085","13,585","231,500"
19.09 Apparel and textiles,"27,150","4,800","22,345"
19.10 Work and family studies,"1,865",155,"1,715"
"19.99 Family and consumer sciences/human sciences, other","4,115",860,"3,260"
