"Characteristics and median employment income of postsecondary graduates two years after graduation, by educational qualification and field of study (STEM and BHASE groupings) 1 2",,,,,,,,,,,,,,,,
Frequency: Occasional,,,,,,,,,,,,,,,,
Table: 37-10-0284-01,,,,,,,,,,,,,,,,
Release date: 2025-04-16,,,,,,,,,,,,,,,,
"Geography: Geographical region of Canada, Province or territory",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Geography,Canada 5,,,,,,,,,,,,,,
,Gender,"Total, gender",,,,,,,,,,,,,,
,Age group 3,15 to 64 years,,,,,,,,,,,,,,
,Status of student in Canada 4,Canadian and international students,,,,,,,,,,,,,,
,Characteristics after graduation,Graduates reporting employment income 6,,,,,,,,,,,,,,
,Graduate statistics,Number of graduates 7 8,Median employment income 7 9,,,,,,,,,,,,,
Educational qualification 10,Field of study 11,2021,2021,,,,,,,,,,,,,
,,Number,2023 constant dollars,,,,,,,,,,,,,
"Career, technical or professional training certificate","Total, field of study","39,250","42,500",,,,,,,,,,,,,
,STEM 12,"2,770","55,800",,,,,,,,,,,,,
,Science and science technology,170,"52,100",,,,,,,,,,,,,
,Engineering and engineering technology,"1,420","61,000",,,,,,,,,,,,,
,Mathematics and computer and information science,"1,190","50,500",,,,,,,,,,,,,
,BHASE 13,"36,460","41,700",,,,,,,,,,,,,
,Business and administration,"9,260","42,400",,,,,,,,,,,,,
,Arts and humanities,"2,530","27,900",,,,,,,,,,,,,
,Social and behavioural sciences,"1,520","42,700",,,,,,,,,,,,,
,Legal professions and studies,520,"56,500",,,,,,,,,,,,,
,Health care,"10,440","43,000",,,,,,,,,,,,,
,Education and teaching,"1,310","33,600",,,,,,,,,,,,,
,"Trades, services, natural resources and conservation","10,900","43,100",,,,,,,,,,,,,
"Career, technical or professional training diploma","Total, field of study","110,270","46,100",,,,,,,,,,,,,
,STEM 12,"25,780","52,200",,,,,,,,,,,,,
,Science and science technology,"3,300","47,000",,,,,,,,,,,,,
,Engineering and engineering technology,"13,740","55,500",,,,,,,,,,,,,
,Mathematics and computer and information science,"8,740","47,900",,,,,,,,,,,,,
,BHASE 13,"84,490","44,600",,,,,,,,,,,,,
,Business and administration,"29,330","42,800",,,,,,,,,,,,,
,Arts and humanities,"6,600","37,300",,,,,,,,,,,,,
,Social and behavioural sciences,"9,730","41,800",,,,,,,,,,,,,
,Legal professions and studies,"1,990","45,900",,,,,,,,,,,,,
,Health care,"13,240","57,000",,,,,,,,,,,,,
,Education and teaching,"2,010","43,600",,,,,,,,,,,,,
,"Trades, services, natural resources and conservation","21,590","45,000",,,,,,,,,,,,,
Undergraduate degree 10,"Total, field of study","151,620","59,300",,,,,,,,,,,,,
,STEM 12,"39,840","67,100",,,,,,,,,,,,,
,Science and science technology,"13,730","47,500",,,,,,,,,,,,,
,Engineering and engineering technology,"16,220","76,700",,,,,,,,,,,,,
,Mathematics and computer and information science,"9,890","73,400",,,,,,,,,,,,,
,BHASE 13,"111,770","57,300",,,,,,,,,,,,,
,Business and administration,"30,980","62,400",,,,,,,,,,,,,
,Arts and humanities,"13,500","40,300",,,,,,,,,,,,,
,Social and behavioural sciences,"28,690","49,600",,,,,,,,,,,,,
,Legal professions and studies,430,"52,700",,,,,,,,,,,,,
,Health care,"15,390","80,700",,,,,,,,,,,,,
,Education and teaching,"12,170","58,500",,,,,,,,,,,,,
,"Trades, services, natural resources and conservation","10,640","56,900",,,,,,,,,,,,,
Professional degree 14,"Total, field of study","6,960","92,100",,,,,,,,,,,,,
,STEM 12,..,..,,,,,,,,,,,,,
,Science and science technology,..,..,,,,,,,,,,,,,
,Engineering and engineering technology,..,..,,,,,,,,,,,,,
,Mathematics and computer and information science,..,..,,,,,,,,,,,,,
,BHASE 13,"6,970","92,100",,,,,,,,,,,,,
,Business and administration,..,..,,,,,,,,,,,,,
,Arts and humanities,..,..,,,,,,,,,,,,,
